"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerName","PartnerISO3","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","036","AUS","Australia","01","LIVE ANIMALS","400","Jordan","JOR",2017,"Gross Exports",7039.91395503
"H4","036","AUS","Australia","01","LIVE ANIMALS","404","Kenya","KEN",2017,"Gross Exports",27.987894495
"H4","036","AUS","Australia","01","LIVE ANIMALS","410","Korea Rep.","KOR",2017,"Gross Exports",1359.90572259663
"H4","036","AUS","Australia","01","LIVE ANIMALS","414","Kuwait","KWT",2017,"Gross Exports",63890.5930250692
"H4","036","AUS","Australia","01","LIVE ANIMALS","422","Lebanon","LBN",2017,"Gross Exports",1.686941586
"H4","036","AUS","Australia","01","LIVE ANIMALS","446","Macau","MAC",2017,"Gross Exports",3855.42831564
"H4","036","AUS","Australia","01","LIVE ANIMALS","458","Malaysia","MYS",2017,"Gross Exports",32749.5194593489
"H4","036","AUS","Australia","01","LIVE ANIMALS","490","Asia Othr.ns","OAS",2017,"Gross Exports",3163.16039736807
"H4","036","AUS","Australia","01","LIVE ANIMALS","512","Oman","OMN",2017,"Gross Exports",12525.2176899821
"H4","036","AUS","Australia","01","LIVE ANIMALS","524","Nepal","NPL",2017,"Gross Exports",228.71630702151
"H4","036","AUS","Australia","01","LIVE ANIMALS","528","Netherlands","NLD",2017,"Gross Exports",1079.54446571136
"H4","036","AUS","Australia","01","LIVE ANIMALS","540","New Calednia","NCL",2017,"Gross Exports",104.79357811395
"H4","036","AUS","Australia","01","LIVE ANIMALS","554","New Zealand","NZL",2017,"Gross Exports",39287.6150668333
"H4","036","AUS","Australia","01","LIVE ANIMALS","579","Norway,Sb,JM","NOR",2017,"Gross Exports",1.53358326
"H4","036","AUS","Australia","01","LIVE ANIMALS","586","Pakistan","PAK",2017,"Gross Exports",10333.8291947289
"H4","036","AUS","Australia","01","LIVE ANIMALS","598","Papua N.Guin","PNG",2017,"Gross Exports",56.359184805
"H4","036","AUS","Australia","01","LIVE ANIMALS","608","Philippines","PHL",2017,"Gross Exports",6087.85243176429
"H4","036","AUS","Australia","01","LIVE ANIMALS","634","Qatar","QAT",2017,"Gross Exports",66023.9875357623
"H4","036","AUS","Australia","01","LIVE ANIMALS","702","Singapore","SGP",2017,"Gross Exports",10216.3467487217
"H4","036","AUS","Australia","01","LIVE ANIMALS","704","Viet Nam","VNM",2017,"Gross Exports",189018.835694109
"H4","036","AUS","Australia","01","LIVE ANIMALS","710","South Africa","ZAF",2017,"Gross Exports",4600.673100837
"H4","036","AUS","Australia","01","LIVE ANIMALS","724","Spain","ESP",2017,"Gross Exports",2.760449868
"H4","036","AUS","Australia","01","LIVE ANIMALS","757","Switz.Liecht","CHE",2017,"Gross Exports",46.0074978
"H4","036","AUS","Australia","01","LIVE ANIMALS","764","Thailand","THA",2017,"Gross Exports",4593.19764923613
"H4","036","AUS","Australia","01","LIVE ANIMALS","784","Untd Arab Em","ARE",2017,"Gross Exports",15825.6659943687
"H4","036","AUS","Australia","01","LIVE ANIMALS","792","Turkey","TUR",2017,"Gross Exports",41157.770777739
"H4","036","AUS","Australia","01","LIVE ANIMALS","826","Untd.Kingdom","GBR",2017,"Gross Exports",2521.8089769114
"H4","036","AUS","Australia","01","LIVE ANIMALS","842","USA,PR,USVI","USA",2017,"Gross Exports",5338.62876479922
"H4","036","AUS","Australia","01","LIVE ANIMALS","858","Uruguay","URY",2017,"Gross Exports",39.87316476
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","000","World","WLD",2017,"Gross Exports",9000115.52299363
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","004","Afghanistan","AFG",2017,"Gross Exports",46.0074978
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","008","Albania","ALB",2017,"Gross Exports",54.62086817979
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","010","Antarctica","ATA",2017,"Gross Exports",42.72792999849
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","012","Algeria","DZA",2017,"Gross Exports",1579.25950381584
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","016","American Samoa","ASM",2017,"Gross Exports",1583.29282778964
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","024","Angola","AGO",2017,"Gross Exports",3424.38023479365
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","028","Antigua,Barb","ATG",2017,"Gross Exports",144.85844078145
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","031","Azerbaijan","AZE",2017,"Gross Exports",23.11493368635
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","040","Austria","AUT",2017,"Gross Exports",99.35395829073
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","044","Bahamas","BHS",2017,"Gross Exports",3403.73206978101
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","048","Bahrain","BHR",2017,"Gross Exports",41062.6433749128
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","050","Bangladesh","BGD",2017,"Gross Exports",249.10376287995
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","052","Barbados","BRB",2017,"Gross Exports",144.4558751757
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","056","Belgium","BEL",2017,"Gross Exports",17234.7123253655
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","070","Bosnia Herzg","BIH",2017,"Gross Exports",236.32978111578
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil","BRA",2017,"Gross Exports",15798.5077684173
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","090","Solomon Is","SLB",2017,"Gross Exports",7902.98854284258
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","096","Brunei Darsm","BRN",2017,"Gross Exports",8954.51980993515
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","104","Myanmar","MMR",2017,"Gross Exports",966.27093896124
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","116","Cambodia","KHM",2017,"Gross Exports",3264.81243017391
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","124","Canada","CAN",2017,"Gross Exports",174040.874716121
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","136","Cayman Is","CYM",2017,"Gross Exports",175.35527748981
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","144","Sri Lanka","LKA",2017,"Gross Exports",6215.61755352978
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","156","China","CHN",2017,"Gross Exports",1040520.04190323
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","162","Christmas Is","CXR",2017,"Gross Exports",674.83721093877
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","166","Cocos Is","CCK",2017,"Gross Exports",64.28934384246
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","184","Cook Is","COK",2017,"Gross Exports",342.82640343996
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","192","Cuba","CUB",2017,"Gross Exports",207.647173404
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","204","Benin","BEN",2017,"Gross Exports",344.5654868568
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","208","Denmark","DNK",2017,"Gross Exports",6447.16025449947
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","214","Dominican Rp","DOM",2017,"Gross Exports",1646.86982220783
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","226","Eq.Guinea","GNQ",2017,"Gross Exports",175.46876265105
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","242","Fiji","FJI",2017,"Gross Exports",11009.5336470012
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","251","France+Monac","FRA",2017,"Gross Exports",14663.5733425213
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","258","Fr.Polynesia","PYF",2017,"Gross Exports",1551.31531644375
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","266","Gabon","GAB",2017,"Gross Exports",587.65990373244
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","276","Germany","DEU",2017,"Gross Exports",21358.6764373729
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","288","Ghana","GHA",2017,"Gross Exports",893.30381424207
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","296","Kiribati","KIR",2017,"Gross Exports",2121.55678150911
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","316","Guam","GUM",2017,"Gross Exports",194.89772897199
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","324","Guinea","GIN",2017,"Gross Exports",122.12613611847
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","344","Hong Kong","HKG",2017,"Gross Exports",186253.109532903
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","352","Iceland","ISL",2017,"Gross Exports",65.19492475749
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","360","Indonesia","IDN",2017,"Gross Exports",284978.577799186
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","364","Iran-Islam.R","IRN",2017,"Gross Exports",33134.8460556732
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","368","Iraq","IRQ",2017,"Gross Exports",928.41520297977
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","372","Ireland","IRL",2017,"Gross Exports",579.70137340467
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","376","Israel","ISR",2017,"Gross Exports",18144.6662530614
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","381","Italy","ITA",2017,"Gross Exports",27903.6846714018
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","384","Cote Divoire","CIV",2017,"Gross Exports",421.58893929867
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","388","Jamaica","JAM",2017,"Gross Exports",11777.6004514819
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","392","Japan","JPN",2017,"Gross Exports",1789859.83562671
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","398","Kazakhstan","KAZ",2017,"Gross Exports",18.25270796052
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","400","Jordan","JOR",2017,"Gross Exports",67326.8800002935
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","410","Korea Rep.","KOR",2017,"Gross Exports",1044707.37520913
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","414","Kuwait","KWT",2017,"Gross Exports",71332.8854886915
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","418","Lao P.Dem.R","LAO",2017,"Gross Exports",148.60345110237
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","422","Lebanon","LBN",2017,"Gross Exports",11259.4985168817
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","446","Macau","MAC",2017,"Gross Exports",803.52554982678
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","458","Malaysia","MYS",2017,"Gross Exports",182973.795539422
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","462","Maldives","MDV",2017,"Gross Exports",4318.92471789306
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","480","Mauritius","MUS",2017,"Gross Exports",28688.3778187957
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","484","Mexico","MEX",2017,"Gross Exports",13805.3540793099
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","490","Asia Othr.ns","OAS",2017,"Gross Exports",255800.451699892
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","496","Mongolia","MNG",2017,"Gross Exports",127.1647239192
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","504","Morocco","MAR",2017,"Gross Exports",2793.59443620675
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","508","Mozambique","MOZ",2017,"Gross Exports",81.00463458483
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","512","Oman","OMN",2017,"Gross Exports",32497.7119891816
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","520","Nauru","NRU",2017,"Gross Exports",3852.17405196228
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","524","Nepal","NPL",2017,"Gross Exports",120.5856517338
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","528","Netherlands","NLD",2017,"Gross Exports",105588.480325106
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","531","","CUW",2017,"Gross Exports",103.93783865487
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","540","New Calednia","NCL",2017,"Gross Exports",5694.25905487692
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","548","Vanuatu","VUT",2017,"Gross Exports",3137.02430465952
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","554","New Zealand","NZL",2017,"Gross Exports",52026.519947889
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","574","Norfolk Is","NFK",2017,"Gross Exports",344.92894608942
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","581","United States Minor Outlying Islands","UMI",2017,"Gross Exports",119.77975373067
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","583","Micronesia","FSM",2017,"Gross Exports",106.31335912461
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","598","Papua N.Guin","PNG",2017,"Gross Exports",99774.1440013458
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","604","Peru","PER",2017,"Gross Exports",1.53358326
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","608","Philippines","PHL",2017,"Gross Exports",141185.531110707
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","616","Poland","POL",2017,"Gross Exports",103.51687005
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","620","Portugal","PRT",2017,"Gross Exports",17.49741820497
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","626","East Timor","TMP",2017,"Gross Exports",212.8766923206
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","634","Qatar","QAT",2017,"Gross Exports",109280.063672414
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","642","Romania","ROM",2017,"Gross Exports",187.09715772
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","643","Russian Fed","RUS",2017,"Gross Exports",8259.09040977273
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","654","St.Helena","SHN",2017,"Gross Exports",157.80188349585
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","659","St.Kitts-Nev","KNA",2017,"Gross Exports",481.05516378843
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","662","St.Lucia","LCA",2017,"Gross Exports",790.43718349431
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","682","Saudi Arabia","SAU",2017,"Gross Exports",163776.832761221
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","686","Senegal","SEN",2017,"Gross Exports",471.23486338302
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","690","Seychelles","SYC",2017,"Gross Exports",2525.29557845301
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","699","India","IND",2017,"Gross Exports",441.78776441613
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","702","Singapore","SGP",2017,"Gross Exports",192352.979123092
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","704","Viet Nam","VNM",2017,"Gross Exports",44115.9992108649
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","705","Slovenia","SVN",2017,"Gross Exports",307.97495706483
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","706","Somalia","SOM",2017,"Gross Exports",23.43698617095
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","710","South Africa","ZAF",2017,"Gross Exports",25566.2346392996
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","724","Spain","ESP",2017,"Gross Exports",605.04843752595
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","752","Sweden","SWE",2017,"Gross Exports",123.54470063397
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","757","Switz.Liecht","CHE",2017,"Gross Exports",55572.7196021491
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","764","Thailand","THA",2017,"Gross Exports",65788.819443966
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","776","Tonga","TON",2017,"Gross Exports",5620.25599466562
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","780","Trinidad Tbg","TTO",2017,"Gross Exports",11397.7978220601
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","784","Untd Arab Em","ARE",2017,"Gross Exports",250472.16618739
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","788","Tunisia","TUN",2017,"Gross Exports",279.66654366849
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","792","Turkey","TUR",2017,"Gross Exports",1245.19599512352
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","798","Tuvalu","TUV",2017,"Gross Exports",91.72131440571
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","804","Ukraine","UKR",2017,"Gross Exports",933.87782655189
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","818","Egypt","EGY",2017,"Gross Exports",16712.1438295205
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","826","Untd.Kingdom","GBR",2017,"Gross Exports",127807.161883396
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","834","Tanzania","TZA",2017,"Gross Exports",76.01128749027
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","842","USA,PR,USVI","USA",2017,"Gross Exports",2039407.11385262
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","876","Wallis Fut.I","WLF",2017,"Gross Exports",51.53376507741
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","882","Samoa","WSM",2017,"Gross Exports",2438.82141917139
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","887","Yemen","YEM",2017,"Gross Exports",49.47953030064
"H4","036","AUS","Australia","02","MEAT AND EDIBLE MEAT OFFAL","899","Areas nes","UNS",2017,"Gross Exports",11.50800878304
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","000","World","WLD",2017,"Gross Exports",1051644.30214712
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","016","American Samoa","ASM",2017,"Gross Exports",541.98672708312
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","032","Argentina","ARG",2017,"Gross Exports",5.10069792276
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","048","Bahrain","BHR",2017,"Gross Exports",39.89540171727
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","050","Bangladesh","BGD",2017,"Gross Exports",28.10137965624
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","056","Belgium","BEL",2017,"Gross Exports",226.95191948088
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","076","Brazil","BRA",2017,"Gross Exports",2.04043252743
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","090","Solomon Is","SLB",2017,"Gross Exports",22.7277039132
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","096","Brunei Darsm","BRN",2017,"Gross Exports",30.63639278502
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","104","Myanmar","MMR",2017,"Gross Exports",14.22705190302
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","116","Cambodia","KHM",2017,"Gross Exports",12.8130881373
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","120","Cameroon","CMR",2017,"Gross Exports",34.50562335
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","124","Canada","CAN",2017,"Gross Exports",2319.97638443769
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","144","Sri Lanka","LKA",2017,"Gross Exports",66.92864063292
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","156","China","CHN",2017,"Gross Exports",273960.253652938
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","162","Christmas Is","CXR",2017,"Gross Exports",18.94205363589
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","191","Croatia","HRV",2017,"Gross Exports",2.59558966755
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","208","Denmark","DNK",2017,"Gross Exports",249.27015666366
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","242","Fiji","FJI",2017,"Gross Exports",355.36344659046
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","251","France+Monac","FRA",2017,"Gross Exports",2033.991477738
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","276","Germany","DEU",2017,"Gross Exports",1844.26499151873
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","296","Kiribati","KIR",2017,"Gross Exports",9.12252002211
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","300","Greece","GRC",2017,"Gross Exports",105.50976149637
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","316","Guam","GUM",2017,"Gross Exports",135.56492622585
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","344","Hong Kong","HKG",2017,"Gross Exports",120694.303040604
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","360","Indonesia","IDN",2017,"Gross Exports",12762.2950929372
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","364","Iran-Islam.R","IRN",2017,"Gross Exports",1221.25292647677
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","376","Israel","ISR",2017,"Gross Exports",85.26262850622
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","381","Italy","ITA",2017,"Gross Exports",5689.49497847973
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","384","Cote Divoire","CIV",2017,"Gross Exports",214.99917155244
"H4","036","AUS","Australia","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","392","Japan","JPN",2017,"Gross Exports",129508.95162252
