"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerName","PartnerISO3","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","028","Antigua,Barb","ATG",2017,"Gross Exports",4582.171
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","031","Azerbaijan","AZE",2017,"Gross Exports",3828.685
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","032","Argentina","ARG",2017,"Gross Exports",96401.429
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","036","Australia","AUS",2017,"Gross Exports",1787.323
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","040","Austria","AUT",2017,"Gross Exports",839.04
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","044","Bahamas","BHS",2017,"Gross Exports",15981.319
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","048","Bahrain","BHR",2017,"Gross Exports",35472.254
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","050","Bangladesh","BGD",2017,"Gross Exports",45.777
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","051","Armenia","ARM",2017,"Gross Exports",15568.649
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","056","Belgium","BEL",2017,"Gross Exports",18640.644
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","060","Bermuda","BMU",2017,"Gross Exports",1221.806
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","068","Bolivia","BOL",2017,"Gross Exports",2599.798
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","092","Br.Virgin Is","VGB",2017,"Gross Exports",212.023
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","096","Brunei Darsm","BRN",2017,"Gross Exports",79.021
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","100","Bulgaria","BGR",2017,"Gross Exports",305.51
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","104","Myanmar","MMR",2017,"Gross Exports",64.4
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","112","Belarus","BLR",2017,"Gross Exports",1039.944
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","120","Cameroon","CMR",2017,"Gross Exports",801.907
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","124","Canada","CAN",2017,"Gross Exports",40091.398
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","132","Cape Verde","CPV",2017,"Gross Exports",2383.225
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","136","Cayman Is","CYM",2017,"Gross Exports",284.995
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","140","Cent.Afr.Rep","CAF",2017,"Gross Exports",751.65
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","144","Sri Lanka","LKA",2017,"Gross Exports",80.192
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","148","Chad","TCD",2017,"Gross Exports",760.226
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","152","Chile","CHL",2017,"Gross Exports",435860.505
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","156","China","CHN",2017,"Gross Exports",1790658.781
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","174","Comoros","COM",2017,"Gross Exports",2270.916
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","178","Congo","COG",2017,"Gross Exports",9530.34
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","180","Dem.Rp.Congo","ZAR",2017,"Gross Exports",15340.407
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","192","Cuba","CUB",2017,"Gross Exports",72029.214
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","196","Cyprus","CYP",2017,"Gross Exports",223.074
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","204","Benin","BEN",2017,"Gross Exports",4969.38
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","208","Denmark","DNK",2017,"Gross Exports",2242.291
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","212","Dominica","DMA",2017,"Gross Exports",1521.389
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","226","Eq.Guinea","GNQ",2017,"Gross Exports",6446.229
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","231","Ethiopia","ETH",2017,"Gross Exports",435.627
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","246","Finland","FIN",2017,"Gross Exports",2283.002
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","251","France+Monac","FRA",2017,"Gross Exports",2730.77
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","262","Djibouti","DJI",2017,"Gross Exports",2358.699
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","266","Gabon","GAB",2017,"Gross Exports",19390.703
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","268","Georgia","GEO",2017,"Gross Exports",31789.216
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","270","Gambia","GMB",2017,"Gross Exports",2615.321
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","275","Occ.Pal.Terr","PSE",2017,"Gross Exports",26092.772
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","276","Germany","DEU",2017,"Gross Exports",98672.479
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","288","Ghana","GHA",2017,"Gross Exports",16592.918
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","300","Greece","GRC",2017,"Gross Exports",455.49
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","308","Grenada","GRD",2017,"Gross Exports",5738.744
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","324","Guinea","GIN",2017,"Gross Exports",4053.26
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","328","Guyana","GUY",2017,"Gross Exports",140.269
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","332","Haiti","HTI",2017,"Gross Exports",4974.753
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","344","Hong Kong","HKG",2017,"Gross Exports",2013852.975
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","348","Hungary","HUN",2017,"Gross Exports",75.845
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","360","Indonesia","IDN",2017,"Gross Exports",38.225
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","364","Iran-Islam.R","IRN",2017,"Gross Exports",565170.723
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","368","Iraq","IRQ",2017,"Gross Exports",193718.187
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","372","Ireland","IRL",2017,"Gross Exports",3512.833
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","376","Israel","ISR",2017,"Gross Exports",89016.955
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","381","Italy","ITA",2017,"Gross Exports",171043.03
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","384","Cote Divoire","CIV",2017,"Gross Exports",10660.19
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","392","Japan","JPN",2017,"Gross Exports",915873.237
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","398","Kazakhstan","KAZ",2017,"Gross Exports",50.505
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","400","Jordan","JOR",2017,"Gross Exports",117095.404
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","404","Kenya","KEN",2017,"Gross Exports",197.503
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","408","Korea D P Rp","PRK",2017,"Gross Exports",41.354
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","410","Korea Rep.","KOR",2017,"Gross Exports",169967.365
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","414","Kuwait","KWT",2017,"Gross Exports",190038.602
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","417","Kyrgyzstan","KGZ",2017,"Gross Exports",529.149
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","422","Lebanon","LBN",2017,"Gross Exports",80936.218
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","428","Latvia","LVA",2017,"Gross Exports",98.918
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","430","Liberia","LBR",2017,"Gross Exports",4882.703
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","434","Libya","LBY",2017,"Gross Exports",63004.513
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","440","Lithuania","LTU",2017,"Gross Exports",62.191
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","458","Malaysia","MYS",2017,"Gross Exports",41746.073
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","462","Maldives","MDV",2017,"Gross Exports",13828.689
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","466","Mali","MLI",2017,"Gross Exports",468.707
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","478","Mauritania","MRT",2017,"Gross Exports",5672.738
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","480","Mauritius","MUS",2017,"Gross Exports",956.834
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","484","Mexico","MEX",2017,"Gross Exports",196563.737
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","490","Asia Othr.ns","OAS",2017,"Gross Exports",1623.372
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","498","Rep.Moldova","MDA",2017,"Gross Exports",4522.089
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","499","Montenegro","MNT",2017,"Gross Exports",1738.369
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","500","Montserrat","MSR",2017,"Gross Exports",65.878
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","504","Morocco","MAR",2017,"Gross Exports",2059.39
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","508","Mozambique","MOZ",2017,"Gross Exports",3006.431
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","512","Oman","OMN",2017,"Gross Exports",131938.284
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","516","Namibia","NAM",2017,"Gross Exports",3764.694
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","528","Netherlands","NLD",2017,"Gross Exports",419777.453
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","531","","CUW",2017,"Gross Exports",21247.125
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","533","Aruba","ABW",2017,"Gross Exports",14318.992
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","534","Saint Maarten (Dutch part)","SXM",2017,"Gross Exports",230.382
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","535","Bonaire","BES",2017,"Gross Exports",109.647
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","540","New Calednia","NCL",2017,"Gross Exports",3454.779
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","562","Niger","NER",2017,"Gross Exports",148.51
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","579","Norway,Sb,JM","NOR",2017,"Gross Exports",2055.85
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","586","Pakistan","PAK",2017,"Gross Exports",778.757
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","600","Paraguay","PRY",2017,"Gross Exports",3275.164
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","604","Peru","PER",2017,"Gross Exports",37527.196
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","608","Philippines","PHL",2017,"Gross Exports",50369.9
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","616","Poland","POL",2017,"Gross Exports",10.571
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","620","Portugal","PRT",2017,"Gross Exports",3094.551
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","624","GuineaBissau","GNB",2017,"Gross Exports",71.589
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","626","East Timor","TMP",2017,"Gross Exports",9091.087
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","634","Qatar","QAT",2017,"Gross Exports",133231.981
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","642","Romania","ROM",2017,"Gross Exports",872.17
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","643","Russian Fed","RUS",2017,"Gross Exports",1296436.978
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","659","St.Kitts-Nev","KNA",2017,"Gross Exports",2198.318
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","660","Anguilla","AIA",2017,"Gross Exports",614.474
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","674","San Marino","SMR",2017,"Gross Exports",5.641
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","678","Sao Tome Prn","STP",2017,"Gross Exports",101.593
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","682","Saudi Arabia","SAU",2017,"Gross Exports",1179502.848
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","686","Senegal","SEN",2017,"Gross Exports",850.42
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","688","Yugoslavia","SER",2017,"Gross Exports",15982.261
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","690","Seychelles","SYC",2017,"Gross Exports",4255.837
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","694","Sierra Leone","SLE",2017,"Gross Exports",2877.655
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","702","Singapore","SGP",2017,"Gross Exports",322252.257
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","704","Viet Nam","VNM",2017,"Gross Exports",39074.405
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","705","Slovenia","SVN",2017,"Gross Exports",46.311
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","710","South Africa","ZAF",2017,"Gross Exports",278778.224
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","716","Zimbabwe","ZWE",2017,"Gross Exports",23.95
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","724","Spain","ESP",2017,"Gross Exports",97162.832
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","728","South Sudan","SSD",2017,"Gross Exports",182.742
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","729","Sudan","SUD",2017,"Gross Exports",889.438
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","740","Suriname","SUR",2017,"Gross Exports",3393.616
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","752","Sweden","SWE",2017,"Gross Exports",29177.303
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","757","Switz.Liecht","CHE",2017,"Gross Exports",43841.35
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","760","Syrian A.R.","SYR",2017,"Gross Exports",493.355
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","762","Tajikistan","TJK",2017,"Gross Exports",4211.658
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","764","Thailand","THA",2017,"Gross Exports",6387.689
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","768","Togo","TGO",2017,"Gross Exports",516.654
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","776","Tonga","TON",2017,"Gross Exports",36.699
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","780","Trinidad Tbg","TTO",2017,"Gross Exports",58.32
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","784","Untd Arab Em","ARE",2017,"Gross Exports",631755.904
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","788","Tunisia","TUN",2017,"Gross Exports",5389.353
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","792","Turkey","TUR",2017,"Gross Exports",25249.536
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","795","Turkmenistan","TKM",2017,"Gross Exports",1726.368
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","804","Ukraine","UKR",2017,"Gross Exports",254.639
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","807","TFYR Macedna","MKD",2017,"Gross Exports",18481.181
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","818","Egypt","EGY",2017,"Gross Exports",749835.315
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","826","Untd.Kingdom","GBR",2017,"Gross Exports",100401.365
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","834","Tanzania","TZA",2017,"Gross Exports",728.459
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","842","USA,PR,USVI","USA",2017,"Gross Exports",80647.18
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","858","Uruguay","URY",2017,"Gross Exports",93569.885
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","860","Uzbekistan","UZB",2017,"Gross Exports",41.032
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","862","Venezuela","VEN",2017,"Gross Exports",53260.641
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","887","Yemen","YEM",2017,"Gross Exports",94669.646
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","894","Zambia","ZMB",2017,"Gross Exports",238.587
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","000","World","WLD",2017,"Gross Exports",233645.805
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","024","Angola","AGO",2017,"Gross Exports",371.259
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","032","Argentina","ARG",2017,"Gross Exports",208.132
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","036","Australia","AUS",2017,"Gross Exports",7998.273
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","040","Austria","AUT",2017,"Gross Exports",2.618
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","056","Belgium","BEL",2017,"Gross Exports",377.793
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","068","Bolivia","BOL",2017,"Gross Exports",0.828
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","120","Cameroon","CMR",2017,"Gross Exports",813.267
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","124","Canada","CAN",2017,"Gross Exports",768.358
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","144","Sri Lanka","LKA",2017,"Gross Exports",1.749
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","152","Chile","CHL",2017,"Gross Exports",469.5
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","156","China","CHN",2017,"Gross Exports",9950.158
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","170","Colombia","COL",2017,"Gross Exports",262.909
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","178","Congo","COG",2017,"Gross Exports",355.908
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","180","Dem.Rp.Congo","ZAR",2017,"Gross Exports",489.316
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","203","Czech Rep","CZE",2017,"Gross Exports",9.714
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","208","Denmark","DNK",2017,"Gross Exports",349.17
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","214","Dominican Rp","DOM",2017,"Gross Exports",156.425
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","226","Eq.Guinea","GNQ",2017,"Gross Exports",129.047
"H4","076","BRA","Brazil","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","251","France+Monac","FRA",2017,"Gross Exports",3851.203
